#	symbol	entrez	ensembl
KIR3DL1	3811	ENSG00000275288
KIR2DL2	3803	ENSG00000277725
KIR3DL2	3812	ENSG00000274722
KIR2DL3	3804	ENSG00000277484
KIR3DL3	115653	ENSG00000276328
KIR2DL4	3805	ENSG00000275848
KIR2DS5	3810	ENSG00000277650
KIR2DS4	3809	ENSG00000273526
KIR2DL2	3803	ENSG00000273661
KIR3DL3	115653	ENSG00000275433
KIR2DL5A	57292	ENSG00000274676
KIR2DL5	57292	ENSG00000274676
KIR3DL3	115653	ENSG00000276086
FCAR	2204	ENSG00000273738
FCAR	2204	ENSG00000276985
KIR2DS1	3806	ENSG00000275306
KIR3DL2	3812	ENSG00000278403
KIR2DS4	3809	ENSG00000277078
KIR2DL3	3804	ENSG00000274830
KIR2DS2	100132285	ENSG00000274518
KIR3DL1	3811	ENSG00000275659
KIR3DL2	3812	ENSG00000276004
KIR3DL1	3811	ENSG00000278427
KIR2DL4	3805	ENSG00000274945
KIR2DL4	3805	ENSG00000274193
KIR2DL1	3802	ENSG00000278755
KIR3DL3	115653	ENSG00000274724
KIR2DL4	3805	ENSG00000277355
KIR2DL5B	553128	ENSG00000275436
KIR2DS4	3809	ENSG00000274406
KIR2DL1	3802	ENSG00000275080
KIR2DL1	3802	ENSG00000278821
KIR2DL1	3802	ENSG00000275276
KIR2DS1	3806	ENSG00000273603
KIR2DL4	3805	ENSG00000277964
KIR2DL5A	57292	ENSG00000275596
KIR2DL5	57292	ENSG00000275596
KIR3DL3	115653	ENSG00000274480
KIR2DS5	3810	ENSG00000274243
KIR2DL5B	553128	ENSG00000278414
KIR3DL1	3811	ENSG00000274920
KIR3DS1	3813	ENSG00000275608
KIR3DL2	3812	ENSG00000278726
KIR3DL3	115653	ENSG00000274696
KIR2DS2	100132285	ENSG00000275452
KIR2DS2	100132285	ENSG00000275737
KIR2DL3	3804	ENSG00000278369
KIR2DL5B	553128	ENSG00000278481
FCAR	2204	ENSG00000275269
KIR3DL2	3812	ENSG00000278361
KIR2DS3	3808	ENSG00000277163
KIR3DL1	3811	ENSG00000273518
KIR2DS3	102725023	ENSG00000278086
KIR2DL4	3805	ENSG00000277540
KIR2DL3	3804	ENSG00000276590
KIR3DL3	115653	ENSG00000274556
KIR2DL1	3802	ENSG00000275750
NCR1	9437	ENSG00000275521
SBNO2	22904	ENSG00000278788
PTCHD3	374308	ENSG00000276595
KIR2DS1	3806	ENSG00000273517
DNAH10	196385	ENSG00000281935
KIR2DL5B	553128	ENSG00000274707
KIR3DL2	3812	ENSG00000278710
KIR3DL3	115653	ENSG00000276806
KIR2DL1	3802	ENSG00000274782
KIR2DL1	3802	ENSG00000273794
KIR2DL3	3804	ENSG00000273887
NCR1	9437	ENSG00000276450
KIR3DL2	3812	ENSG00000278442
KIR3DL2	3812	ENSG00000278850
FCAR	2204	ENSG00000275970
KIR3DS1	3813	ENSG00000275037
KIR2DS2	100132285	ENSG00000275253
KIR3DL2	3812	ENSG00000278474
SNTG2	54221	ENSG00000281486
KIR3DL2	3812	ENSG00000275626
KIR2DL3	3804	ENSG00000278327
KIR2DL4	3805	ENSG00000274955
OR9G4	283189	ENSG00000262647
FCAR	2204	ENSG00000275136
KIR2DL5B	553128	ENSG00000275937
KIR3DL1	3811	ENSG00000278079
KIR2DS2	100132285	ENSG00000276425
KIR2DS2	100132285	ENSG00000277885
KIR2DS1	3806	ENSG00000275421
KIR2DL2	3803	ENSG00000276011
KIR3DL3	115653	ENSG00000275172
OR9G1	390174	ENSG00000261958
KIR3DL1	3811	ENSG00000277175
KIR3DL3	115653	ENSG00000277552
KIR2DS3	3808	ENSG00000277657
OR9G1	504191	ENSG00000262191
GATAD2B	57459	ENSG00000261992
CCDC92	80212	ENSG00000275035
KIR3DL3	115653	ENSG00000275513
KIR2DL4	3805	ENSG00000273498
ZNF430	80264	ENSG00000278780
ZNF85	7639	ENSG00000278091
KIR2DL3	3804	ENSG00000274108
SLC27A3	11000	ENSG00000263163
KIR2DL1	3802	ENSG00000277356
KIR3DL3	115653	ENSG00000274786
KIR2DS2	100132285	ENSG00000274438
NCR1	9437	ENSG00000278025
KIR2DS3	3808	ENSG00000277193
KIR2DL5B	57292	ENSG00000276392
KIR3DL3	115653	ENSG00000273502
KIR2DL2	3803	ENSG00000273578
KIR3DS1	3813	ENSG00000276498
KIR3DS1	3813	ENSG00000274465
KIR2DL4	3805	ENSG00000278271
KIR2DL3	3804	ENSG00000276218
KIR2DS5	3810	ENSG00000274563
KIR2DL4	3805	ENSG00000277362
ZNF66	7617	ENSG00000275050
KIR2DS4	3809	ENSG00000274947
KIR2DL2	3803	ENSG00000276731
KIR2DL4	3805	ENSG00000277750
KIR2DL5B	57292	ENSG00000276177
PIWIL1	9271	ENSG00000275051
KIR3DL2	3812	ENSG00000275262
KIR3DL3	115653	ENSG00000274394
KIR3DL2	3812	ENSG00000275629
KRTAP9-2	83899	ENSG00000262573
KRTAP9-4	85280	ENSG00000262896
KRTAP9-6	100507608	ENSG00000263263
KIR2DL4	3805	ENSG00000277850
KRTAP9-7	100505724	ENSG00000262221
KIR2DL2	3803	ENSG00000278692
KRTAP29-1	100533177	ENSG00000262542
KRTAP9-9	81870	ENSG00000262594
KIR2DS2	100132285	ENSG00000275735
PPIAL4F	728945	ENSG00000275974
DHX36	170506	ENSG00000281763
KIR3DL3	115653	ENSG00000274254
DLG5	9231	ENSG00000274429
KIR3DL3	115653	ENSG00000274763
KIR2DS4	3809	ENSG00000276395
KIR2DL1	3802	ENSG00000275522
KIR3DL2	3812	ENSG00000275416
KIR3DL2	3812	ENSG00000276882
KIR2DL1	3802	ENSG00000276310
KIR2DS4	3809	ENSG00000276465
KIR3DL3	115653	ENSG00000277392
KIR3DL2	3812	ENSG00000278758
ARHGEF26	26084	ENSG00000277101
KIR2DL1	3802	ENSG00000274692
KIR2DS4	3809	ENSG00000275731
KIR2DS4	3809	ENSG00000275353
KIR2DL4	3805	ENSG00000278606
KIR2DL3	3804	ENSG00000275623
KIR3DL3	115653	ENSG00000275062
NCR1	9437	ENSG00000277442
KIR3DL2	3812	ENSG00000278809
KIR3DL3	115653	ENSG00000277028
FTCD	10841	ENSG00000281775
ADI1	55256	ENSG00000280830
TRAPPC12	51112	ENSG00000274891
KRTAP9-2	83899	ENSG00000263090
KRTAP9-4	85280	ENSG00000262512
KRTAP9-3	83900	ENSG00000262749
KRTAP9-6	100507608	ENSG00000267635
KIR3DL1	3811	ENSG00000278368
KRTAP29-1	100533177	ENSG00000262218
KIR3DL3	115653	ENSG00000276084
SNTG2	54221	ENSG00000281020
KIR3DL2	3812	ENSG00000277982
KIR2DL5B	57292	ENSG00000278116
LSS	4047	ENSG00000281289
KIR2DS3	102725023	ENSG00000275500
KIR2DS1	3806	ENSG00000276327
NCR1	9437	ENSG00000275637
KIR2DL1	3802	ENSG00000278495
TPO	7173	ENSG00000277603
PROP1	5626	ENSG00000280635
HS3ST6	64711	ENSG00000276333
MEIOB	254528	ENSG00000282650
KRT20	54474	ENSG00000263057
KIR2DS4	3809	ENSG00000275351
KIR2DL1	3802	ENSG00000276625
KCNQ2	3785	ENSG00000281151
ERICH1	157697	ENSG00000282665
KIR2DL1	3802	ENSG00000277833
KRTAP3-1	83896	ENSG00000262068
KRTAP3-2	83897	ENSG00000263296
PROP1	5626	ENSG00000274382
KRTAP4-9	100132386	ENSG00000262121
KRTAP2-4	85294	ENSG00000263091
KIR2DL3	3804	ENSG00000276459
KIR2DL1	3802	ENSG00000278248
KRT23	25984	ENSG00000263309
ABCB11	8647	ENSG00000276582
SPATC1L	84221	ENSG00000274679
G6PC2	57818	ENSG00000278373
SLC45A2	51151	ENSG00000281919
RXFP3	51289	ENSG00000277069
KIR2DL3	3804	ENSG00000275008
ADAMTS12	81792	ENSG00000281690
KIR2DS3	3808	ENSG00000275599
KIR2DL4	3805	ENSG00000275317
SPC25	57405	ENSG00000277909
KIR3DS1	3813	ENSG00000274283
KIR2DL3	3804	ENSG00000274402
DGCR6	102724770	ENSG00000278817
APOBEC3A	200315	ENSG00000262156
APOBEC3A	100913187	ENSG00000262156
GARRE1	9710	ENSG00000279389
TUBGCP5	114791	ENSG00000280807
SEPTIN9	10801	ENSG00000282302
SEPT9	10801	ENSG00000282302
KIR3DL2	3812	ENSG00000276357
LSM14A	26065	ENSG00000262860
KIR3DL1	3811	ENSG00000275486
KRT40	125115	ENSG00000262845
GOLGA6L1	283767	ENSG00000278247
CRIM1	51232	ENSG00000277354
NOSTRIN	115677	ENSG00000275326
KRTAP1-1	81851	ENSG00000262808
KRTAP4-11	653240	ENSG00000263229
CYFIP1	23191	ENSG00000280618
KRTAP1-3	81850	ENSG00000262347
KRTAP4-16	85354	ENSG00000262520
KRT12	3859	ENSG00000263243
DLGAP2	9228	ENSG00000282152
KRTAP1-5	83895	ENSG00000261862
KRT39	390792	ENSG00000262164
CNTNAP2	26047	ENSG00000278728
RPS17	6218	ENSG00000278229
GOLGA6L22	440243	ENSG00000274404
AADACL2	344752	ENSG00000261846
KRTAP2-1	81872	ENSG00000261852
C18orf24	220134	ENSG00000262634
SKA1	220134	ENSG00000262634
METRNL	284207	ENSG00000275031
KRTAP3-3	85293	ENSG00000263101
KRTAP2-3	730755	ENSG00000262862
ZNF43	7594	ENSG00000279566
KRTAP4-12	83755	ENSG00000263236
KIR3DL3	115653	ENSG00000274639
KRTAP1-4	728255	ENSG00000263242
PAXBP1	94104	ENSG00000263141
LOC100996750	100996750	ENSG00000266286
ZNF100	163227	ENSG00000274746
KIR2DS1	3806	ENSG00000278304
KRTAP4-8	728224	ENSG00000261968
C21orf62	56245	ENSG00000262938
KIR3DL2	3812	ENSG00000275083
KIR2DL5B	57292	ENSG00000276686
GOLGA6L1	283767	ENSG00000275009
KCNIP4	80333	ENSG00000281758
MAPK4	5596	ENSG00000282110
CPEB1	64506	ENSG00000277445
KIR2DL4	3805	ENSG00000278201
TBCD	6904	ENSG00000278759
LRRC56	115399	ENSG00000273831
SMN1	6606	ENSG00000273772
SMN2	6606	ENSG00000273772
SMN1	6607	ENSG00000273772
SMN2	6607	ENSG00000273772
TUBGCP5	114791	ENSG00000276856
CTDP1	9150	ENSG00000282752
DECR2	26063	ENSG00000274296
KIR2DS4	3809	ENSG00000276154
AP2A2	161	ENSG00000280759
KIR3DL1	3811	ENSG00000278856
SNTB2	6645	ENSG00000260873
PHRF1	57661	ENSG00000274780
KIAA1542	57661	ENSG00000274780
UTP4	84916	ENSG00000262788
SINHCAF	58516	ENSG00000276371
GART	2618	ENSG00000262473
ABR	29	ENSG00000276016
MEGF11	84465	ENSG00000277848
DNAJC28	54943	ENSG00000262911
UGT2A3	79799	ENSG00000278216
B3GNTL1	146712	ENSG00000277033
IFNGR2	3460	ENSG00000262795
MUC6	4588	ENSG00000277518
UGT2B10	7365	ENSG00000275190
PRB1	5542	ENSG00000275517
PRB1	653247	ENSG00000275517
RAB11FIP3	9727	ENSG00000275338
GTF2H2	2966	ENSG00000276910
GTF2H2	728340	ENSG00000276910
UGT2B15	7366	ENSG00000277132
KRTAP5-6	440023	ENSG00000277389
KRTAP5-1	387264	ENSG00000280585
KRTAP5-4	387267	ENSG00000278620
KRTAP5-5	439915	ENSG00000278302
TMPRSS11E	28983	ENSG00000274058
TMEM50B	757	ENSG00000263160
NDUFA6	4700	ENSG00000272765
DUSP8	1850	ENSG00000278165
TCF20	6942	ENSG00000262024
IFITM10	402778	ENSG00000281618
KRTAP5-3	387266	ENSG00000281191
KRTAP5-2	440021	ENSG00000281533
SMDT1	91689	ENSG00000272901
YTHDC1	91746	ENSG00000275272
CAPN15	6650	ENSG00000282214
KIR2DL4	3805	ENSG00000275456
NKD2	85409	ENSG00000276920
GOLGA6L9	440295	ENSG00000274320
KRTAP5-2	440021	ENSG00000278489
KRTAP5-3	387266	ENSG00000275920
KRTAP5-4	387267	ENSG00000277068
KRTAP5-1	387264	ENSG00000278210
KRTAP5-5	439915	ENSG00000277291
DUSP8	1850	ENSG00000273793
SLC12A7	10723	ENSG00000276482
LMNTD2	256329	ENSG00000275873
TIMM22	29928	ENSG00000278501
NXN	64359	ENSG00000281300
MUC4	4585	ENSG00000273984
GOLGA6L10	647042	ENSG00000274042
GOLGA6L10	643707	ENSG00000274166
GOLGA6L10	647042	ENSG00000274166
RNH1	6050	ENSG00000276230
MUC20	200958	ENSG00000275430
KIF26B	55083	ENSG00000281216
MUC4	4585	ENSG00000273822
MUC4	4585	ENSG00000276613
OR10A3	26496	ENSG00000273953
OR5P2	120065	ENSG00000276025
OR5P3	120066	ENSG00000278253
OR10A6	390093	ENSG00000276451
NLRP10	338322	ENSG00000276780
KIR3DL2	3812	ENSG00000277709
KIR3DL3	115653	ENSG00000276875
SERF1A	8293	ENSG00000277429
SERF1B	8293	ENSG00000277429
SERF1A	728492	ENSG00000277429
SERF1B	728492	ENSG00000277429
SMDT1	91689	ENSG00000272835
KIR2DS1	3806	ENSG00000275921
KIR2DS2	100132285	ENSG00000276139
NDUFA6	4700	ENSG00000273397
KIR3DL1	3811	ENSG00000274146
TARM1	441864	ENSG00000276145
CYP2D6	1565	ENSG00000272532
CYP2D6	107987478	ENSG00000272532
CYP2D6	107987479	ENSG00000272532
MBOAT7	79143	ENSG00000277025
NAIP	4671	ENSG00000276068
KIR2DL3	3804	ENSG00000275658
CNOT3	4849	ENSG00000276082
KIR2DS1	3802	ENSG00000276387
DRD4	1815	ENSG00000276825
DEAF1	10522	ENSG00000282712
KIR3DL2	3812	ENSG00000275838
CLK2	1196	ENSG00000261893
OR2T6	254879	ENSG00000278659
OR2T2	401992	ENSG00000275754
CYP2D6	101929829	ENSG00000272000
OR2T4	127074	ENSG00000275617
RDH13	112724	ENSG00000273944
IRF7	3665	ENSG00000276561
OR2T7	81458	ENSG00000281489
OR2T1	26696	ENSG00000273508
BDH1	622	ENSG00000275544
OR2T3	343173	ENSG00000277113
TSEN34	79042	ENSG00000274672
TARM1	441864	ENSG00000274889
MUC20	200958	ENSG00000278114
OR2T5	401993	ENSG00000275102
TMEM179	388021	ENSG00000276342
VSTM1	284415	ENSG00000276159
OR2W1	26692	ENSG00000226463
OR14J1	442191	ENSG00000236927
TRIM27	5987	ENSG00000234495
C14orf180	400258	ENSG00000274126
NRAC	400258	ENSG00000274126
LOC400258	400258	ENSG00000274126
MCCC2	64087	ENSG00000281742
MUC4	4585	ENSG00000278468
PKLR	5313	ENSG00000262785
KIR3DL3	115653	ENSG00000278490
KIR3DL3	115653	ENSG00000276572
NLRP2	55655	ENSG00000275399
LILRA4	23547	ENSG00000276798
TMC4	147798	ENSG00000274873
HRAS	3265	ENSG00000276536
ZNF311	282890	ENSG00000225351
BDP1	55814	ENSG00000274803
PSMB1	5689	ENSG00000281184
FAM120B	84498	ENSG00000275333
LENG1	79165	ENSG00000275935
CNOT3	4849	ENSG00000273943
OR2B3	442184	ENSG00000233054
VSTM1	284415	ENSG00000276363
LAIR1	3903	ENSG00000276163
KIR2DL4	3805	ENSG00000277076
SCAMP3	10067	ENSG00000263290
LST1	7940	ENSG00000235915
MUC20	200958	ENSG00000277753
DENND11	57189	ENSG00000262599
LENG1	79165	ENSG00000278426
RASSF7	8045	ENSG00000273859
NLRP7	199713	ENSG00000277071
RPS9	6203	ENSG00000278081
MUC4	4585	ENSG00000278303
ZNF729	100287226	ENSG00000279552
ZNF676	163223	ENSG00000276219
GBA	2629	ENSG00000262446
RDH13	112724	ENSG00000275474
RPS9	6203	ENSG00000275323
LILRA2	11027	ENSG00000278634
SSBP1	6742	ENSG00000262771
VSTM1	284415	ENSG00000274953
NLRP7	199713	ENSG00000277776
DLL1	28514	ENSG00000275555
CDHR5	53841	ENSG00000273572
OR8U9	504190	ENSG00000281038
OSCAR	126014	ENSG00000276982
OR5T3	390154	ENSG00000261897
OR5T2	219464	ENSG00000262851
OR8K3	219473	ENSG00000262755
OR8H1	219469	ENSG00000262611
OR5T1	390155	ENSG00000262784
OR8K1	390157	ENSG00000263328
OR8J1	219477	ENSG00000262796
SMN1	6606	ENSG00000275349
SMN2	6606	ENSG00000275349
MBOAT7	79143	ENSG00000277733
NLRP7	199713	ENSG00000276804
TSEN34	79042	ENSG00000275165
TFPT	29844	ENSG00000276296
OR2J3	442186	ENSG00000226271
MICB	4277	ENSG00000231179
CNOT3	4849	ENSG00000275979
DEFB104A	503618	ENSG00000277006
TFPT	29844	ENSG00000275086
AGK	55750	ENSG00000262327
FLJ10842	55750	ENSG00000262327
KIR2DL2	3803	ENSG00000275546
SERF1A	8293	ENSG00000275581
SERF1B	8293	ENSG00000275581
DEFB105A	245908	ENSG00000274729
HEL-S-289	245908	ENSG00000274729
DEFB105A	504180	ENSG00000274729
HEL-S-289	504180	ENSG00000274729
PRR23D1	100131608	ENSG00000274540
PRR23D1	100133251	ENSG00000274540
WEE2	494551	ENSG00000263042
DEFB4A	1673	ENSG00000275444
DEFB4A	100289462	ENSG00000275444
FAM90A7P	441317	ENSG00000281040
FAM90A7P	441327	ENSG00000281040
LILRB1	10859	ENSG00000277807
DEFB103A	55894	ENSG00000273641
MBOAT7	79143	ENSG00000277923
KIR2DL4	3805	ENSG00000276979
FAM90A22P	645558	ENSG00000281407
ZNF705G	100131980	ENSG00000274195
NDUFA3	4696	ENSG00000273642
HCN3	57657	ENSG00000263324
KIR2DS4	3809	ENSG00000276209
DEFB107A	245910	ENSG00000277530
DEFB107A	503614	ENSG00000277530
NLRP2	55655	ENSG00000275843
NDUFA3	4696	ENSG00000275724
TRIM10	10107	ENSG00000237703
KIR3DL2	3812	ENSG00000278656
SPAG11B	10407	ENSG00000274405
SPAG11A	10407	ENSG00000274405
OSCAR	126014	ENSG00000275551
SCT	6343	ENSG00000274473
FAM189B	10712	ENSG00000262666
PTDSS2	81490	ENSG00000282367
VSTM1	284415	ENSG00000276066
OSCAR	126014	ENSG00000274703
DEFB106A	503841	ENSG00000275794
RNF39	80352	ENSG00000236967
HCGV	80352	ENSG00000236967
NLRP2	55655	ENSG00000278789
FAM90A23P	645572	ENSG00000281862
MUC21	394263	ENSG00000231350
TNF	7124	ENSG00000228978
TNF-alpha	7124	ENSG00000228978
OR11A1	26531	ENSG00000232289
PRAMEF5	343068	ENSG00000276420
LENG1	79165	ENSG00000277457
TMC4	147798	ENSG00000277667
FAM20C	56975	ENSG00000281429
MOG	4340	ENSG00000234096
TMC4	147798	ENSG00000277996
PRAMEF18	391003	ENSG00000277853
RPS9	6203	ENSG00000274005
BTG3	10950	ENSG00000281484
NDUFA3	4696	ENSG00000278365
PRAMEF8	391002	ENSG00000278021
NLRP2	55655	ENSG00000274638
KIR2DS4	3809	ENSG00000274533
LILRA5	353514	ENSG00000278355
MBOAT7	79143	ENSG00000275118
OR2J3	442186	ENSG00000233636
KIR3DL2	3812	ENSG00000276739
HNRNPCL2	440563	ENSG00000274109
OR5V1	81696	ENSG00000243441
PRAMEF25	441873	ENSG00000276299
PRAMEF25	645359	ENSG00000276299
TFPT	29844	ENSG00000273833
OR14J1	442191	ENSG00000234100
NDUFA6	4700	ENSG00000277365
CNOT3	4849	ENSG00000274941
HNRNPCL4	101060301	ENSG00000273865
OR11A1	26531	ENSG00000237258
PRAMEF9	343070	ENSG00000281573
SMDT1	91689	ENSG00000274112
LY6G6F	259215	ENSG00000239741
LY6G6	259215	ENSG00000239741
CYP2D6	1565	ENSG00000275211
CYP2D6	107987478	ENSG00000275211
CYP2D6	107987479	ENSG00000275211
PSORS1C1	170679	ENSG00000231094
NCR1	9437	ENSG00000278362
TSEN34	79042	ENSG00000273896
OR2W1	26692	ENSG00000228652
HLA-DRA	3122	ENSG00000277263
PPP1R11	6992	ENSG00000236560
LENG1	79165	ENSG00000276628
BTNL2	56244	ENSG00000275798
TARM1	441864	ENSG00000275123
NDUFA3	4696	ENSG00000276766
MUC20	200958	ENSG00000281630
LTB	4050	ENSG00000223448
RDH13	112724	ENSG00000274504
TMC4	147798	ENSG00000274905
NDUFA3	4696	ENSG00000276061
CEACAM4	1089	ENSG00000274131
OR2B3	442184	ENSG00000231319
RDH13	112724	ENSG00000276341
PSMB9	5698	ENSG00000239836
TCF20	6942	ENSG00000276461
TSEN34	79042	ENSG00000274078
CEACAM21	90273	ENSG00000278565
RPS9	6203	ENSG00000277359
KIR2DL1	3802	ENSG00000275196
LILRA3	11026	ENSG00000273884
MBOAT7	79143	ENSG00000278519
FAM189A1	23359	ENSG00000273564
ATP23	91419	ENSG00000262145
GABBR1	2550	ENSG00000237051
RPS9	6203	ENSG00000278270
NLRP7	199713	ENSG00000277179
CEACAM7	1087	ENSG00000280501
NLRP7	199713	ENSG00000274174
PTPRN2	5799	ENSG00000282185
APBA2	321	ENSG00000276495
OR11A1	26531	ENSG00000223898
OR2B3	442184	ENSG00000226832
LILRB2	10288	ENSG00000277751
MIR cl-10	10288	ENSG00000277751
HLA-G	3135	ENSG00000233095
HLA-G3	3135	ENSG00000233095
OSCAR	126014	ENSG00000278533
KIR3DS1	3813	ENSG00000275434
LILRA6	79168	ENSG00000275539
ZFP57	346171	ENSG00000227858
OR5V1	81696	ENSG00000242289
OR2J2	26707	ENSG00000225550
PHLDA2	7262	ENSG00000274538
CARS1	833	ENSG00000278191
CARS	833	ENSG00000278191
MUC20	200958	ENSG00000274843
HLA-G	3135	ENSG00000276051
HLA-G3	3135	ENSG00000276051
IQSEC3	440073	ENSG00000262607
CTSO	1519	ENSG00000263238
TFPT	29844	ENSG00000276263
FAM20C	56975	ENSG00000282147
HERC2	8924	ENSG00000276802
MROH5	389690	ENSG00000282181
SPPL2C	162540	ENSG00000277106
KIR2DS5	3810	ENSG00000274739
ASIC5	51802	ENSG00000262505
FCAR	2204	ENSG00000278415
TDO2	6999	ENSG00000262635
PTP4A3	11156	ENSG00000275575
SLC39A11	201266	ENSG00000282291
TARM1	441864	ENSG00000277178
TFPT	29844	ENSG00000276504
KIR2DS2	100132285	ENSG00000275583
OR2J1	442185	ENSG00000234305
SLC5A8	160728	ENSG00000262217
WNT3	7473	ENSG00000277641
WNT3	101929777	ENSG00000277641
GOLGA8G	283768	ENSG00000277090
DHX16	8449	ENSG00000227222
GPR20	2843	ENSG00000275181
DLGAP2	9228	ENSG00000274161
FCAR	2204	ENSG00000275564
ANO4	121601	ENSG00000262139
ARHGAP27	201176	ENSG00000276907
APOM	55937	ENSG00000235754
MAMDC2	256691	ENSG00000278608
HSPA1B	3304	ENSG00000232804
HEL-S-103	3304	ENSG00000232804
KIR2DS1	3806	ENSG00000278120
GABBR1	2550	ENSG00000232569
KIR3DL2	3812	ENSG00000278707
OCA2	4948	ENSG00000277361
C4B	100293534	ENSG00000233312
C4B_2	100293534	ENSG00000233312
NAIP	4671	ENSG00000278613
LILRB2	10288	ENSG00000275463
MIR cl-10	10288	ENSG00000275463
RPH3AL	9501	ENSG00000282013
KIR2DL2	3803	ENSG00000274412
NSMCE3	56160	ENSG00000282130
KIR2DL5A	57292	ENSG00000274143
KIR2DL5	57292	ENSG00000274143
KIR2DL1	3802	ENSG00000274926
MUC6	4588	ENSG00000277281
GOLGA8F	100132565	ENSG00000278310
ZNF311	282890	ENSG00000223687
KIR2DS4	3809	ENSG00000274921
PSORS1C1	170679	ENSG00000235487
MUC2	4583	ENSG00000278466
VSTM1	284415	ENSG00000275577
CHRFAM7A	89832	ENSG00000275917
OR2J3	442186	ENSG00000232178
APBA1	320	ENSG00000276497
SERPINF1	5176	ENSG00000282307
WNT9B	7484	ENSG00000276799
PPP1R10	5514	ENSG00000230995
SCARF1	8578	ENSG00000276336
TTYH1	57348	ENSG00000276887
KIR3DL2	3812	ENSG00000273911
CRHR1	1394	ENSG00000282456
CRHR1	104909134	ENSG00000282456
LILRB2	10288	ENSG00000274513
MIR cl-10	10288	ENSG00000274513
NSF	4905	ENSG00000276262
ARHGAP11A	9824	ENSG00000275568
TAF9	6880	ENSG00000276463
AP2A2	161	ENSG00000281385
TAS2R30	259293	ENSG00000262111
TAS2R19	259294	ENSG00000263028
TAS2R8	50836	ENSG00000272712
TAS2R7	50837	ENSG00000273326
LRRC37A2	474170	ENSG00000274332
TAS2R50	259296	ENSG00000273431
TAS2R43	259289	ENSG00000262612
TAS2R43	259291	ENSG00000262612
STK19	8859	ENSG00000236250
TAS2R14	50840	ENSG00000261984
TAS2R14	106707243	ENSG00000261984
OSCAR	126014	ENSG00000275644
TAS2R9	50835	ENSG00000273086
TRPV5	56302	ENSG00000274348
TAS2R31	259290	ENSG00000263097
TAS2R13	50838	ENSG00000273457
RAD17	5884	ENSG00000276618
TAS2R46	259292	ENSG00000262525
TAS2R20	259295	ENSG00000273092
MAS1L	116511	ENSG00000206470
MGRH	116511	ENSG00000206470
PRR4	5554	ENSG00000263247
PRR4	11272	ENSG00000263247
ZFP57	346171	ENSG00000226858
OR2H2	7932	ENSG00000206467
ATAT1	79969	ENSG00000231257
ZNF280B	140883	ENSG00000277421
ARMC10	83787	ENSG00000282813
NEU1	4758	ENSG00000184494
KCNQ1	3784	ENSG00000282076
TRPM1	4308	ENSG00000274965
